,kodPocztowy,lat,lon
30000,98-313,52.25191415363454,17.36873303533731
30100,98-200,52.24029999838603,17.654869737527008
30200,98-200,52.16332460455383,17.789825692157184
30300,98-260,52.25108993798462,17.544167747469473
30400,98-260,52.25953802436176,17.52115581920022
30500,98-260,52.25231937390808,17.5220930812723
30600,98-260,52.26286035854187,17.521788448963346
30700,98-260,52.26358478748532,17.534383283030603
30800,98-260,52.25726379146198,17.522030697544935
30900,98-260,52.257002900319385,17.51978504834802
31000,98-200,52.23867394573658,17.78048188144904
31100,98-200,52.200645994082855,17.726325101504774
31200,95-100,52.600987708016824,18.173311353926156
31300,95-100,52.62480048833174,18.179851344184605
31400,95-100,52.61516112736789,18.15999762183221
31500,95-100,52.61663172979929,18.163069897021288
31600,95-100,52.63520095591353,18.155812344255295
31700,95-100,52.60548672882627,18.19457693520468
31800,95-100,52.60259723433355,18.175912847741408
31900,97-400,52.607427877071764,17.36224177216714
32000,97-400,52.57701195259477,17.369898585864313
32100,97-400,52.56717516415517,17.330520322583634
32200,97-400,52.60025702203,17.34580656242972
32300,95-100,52.62193529578618,18.136130348434875
32400,95-100,52.59658303437735,18.156690437348296
32500,95-100,52.591201553739914,18.155179322259816
32600,95-100,52.599789877383756,18.155987708048475
32700,95-100,52.57998494914599,18.152464256240826
32800,95-100,52.62962381192011,18.187821921772255
32900,95-100,52.61146134112629,18.196477969529802
33000,97-400,52.56910288944885,17.328028457247648
33100,97-400,52.57243571629343,17.32567399510497
33200,97-400,52.579513319599045,17.361801560924032
33300,95-100,52.62962333961955,18.17908929525733
33400,95-100,52.61113887383084,18.169093566465026
33500,95-100,52.609423023572724,18.1924483509741
33600,95-100,52.61084671851146,18.147793433401247
33700,95-100,52.62578595456329,18.179841197175698
33800,95-100,52.61654042630377,18.17931335735214
33900,97-400,52.57913392718982,17.345339367706856
34000,97-400,52.578344369721954,17.336713260146855
34100,97-545,52.6622501726119,17.022360222136054
34200,95-100,52.601076393168235,18.19513180063141
34300,95-100,52.63187285596543,18.164656942788827
34400,95-100,52.581313204567415,18.198774686129084
34500,95-100,52.62371078036407,18.186983258691303
34600,97-400,52.575147914187866,17.346718290413726
34700,97-512,52.7407721811908,16.91297884247327
34800,97-512,52.73334175712031,16.917483449940786
34900,97-545,52.65370435270397,17.01396660153013
35000,97-545,52.66294624148516,17.01301885016992
35100,97-545,52.661053377372184,17.02384695635147
35200,98-235,52.013055577376484,17.848453235501207
35300,98-235,52.00793261123402,17.848220391492898
35400,97-200,53.02177043603414,17.57772730166723
35500,95-100,52.62774563099671,18.19040930617933
35600,95-100,52.62603720213348,18.183340884824652
35700,95-100,52.61992312972614,18.156220666850047
35800,95-100,52.630636319037805,18.18072849171645
35900,97-400,52.59186733964329,17.338075194179762
36000,97-400,52.601954966685156,17.341474226817294
36100,97-400,52.59649385453873,17.38441477444458
36200,97-400,52.571778913328785,17.384804029145595
36300,97-545,52.65555497451054,17.035836685129716
36400,97-545,52.65397835794206,17.032619482966965
36500,97-545,52.66023369975307,17.031183591213328
36600,98-200,52.22794720287325,17.78800381221044
36700,98-200,52.22360661954113,17.781152636172617
36800,98-200,52.22703041270842,17.800352373567787
36900,98-200,52.17948971080156,17.736807456256205
37000,97-200,53.02383456594912,17.571896624261328
37100,97-213,52.967340899987015,17.489683511508982
37200,97-213,52.96675039072174,17.488068745002323
37300,97-200,52.977807839075346,17.69896068599064
37400,95-100,52.619576287476725,18.134741874381067
37500,95-100,52.628123042185265,18.166798747494116
37600,95-100,52.599244473989835,18.165828655709742
